Date,Product,Sales,Waste,Make,temp,rain,days,weather,wind,body_temp,hum,upset,dust,holiday,pop,search,a,b,c,Waste+난수,Make+난수,난수값,,,
01_12,르뱅 3종,3,0,3,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,1,4,1,,,
01_12,무화과 쿠키,1,0,1,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,2,3,2,,,
01_13,올리브 치아바타,8,0,8,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,1,9,1,,,
01_13,할라피뇨 치아바타,8,0,8,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,0,8,0,,,
01_13,소금빵,32,0,32,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,1,33,1,,,
01_13,갈레트 부르통,4,0,4,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,2,6,2,,,
01_13,통밀 비스코티,1,0,1,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,2,3,2,,,
01_13,5종 스콘,24,0,24,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,0,24,0,,,
01_13,레몬 마들렌,1,0,1,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,1,2,1,,,
01_13,르뱅 3종,4,0,4,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,2,6,2,,,
01_13,무화과 쿠키,4,0,4,-0.2,0,Sat,맑음,1,1.5464,48.9,39.048478,15,1,136488.352,43,,,,2,6,2,,,
01_14,올리브 치아바타,6,0,6,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,0,6,0,,,
01_14,감자 치아바타,6,0,6,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,1,7,1,,,
01_14,소금빵,28,0,28,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,0,28,0,,,
01_14,갈레트 부르통,2,0,2,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,2,4,2,,,
01_14,통밀 비스코티,2,0,2,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,1,3,1,,,
01_14,5종 스콘,18,3,21,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,5,23,2,,,
01_14,레몬 마들렌,3,1,4,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,1,4,0,,,
01_14,르뱅 3종,2,0,2,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,1,3,1,,,
01_14,무화과 쿠키,2,0,2,-0.7,2.5,Sun,비,1.7,0.005324959,79.4,33.828558,13,1,104048.7454,34,,,,2,4,2,,,
01_15,올리브 치아바타,8,0,8,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,2,10,2,,,
01_15,감자 치아바타,8,0,8,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,2,10,2,,,
01_15,소금빵,22,0,22,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,2,24,2,,,
01_15,갈레트 부르통,2,0,2,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,1,3,1,,,
01_15,통밀 비스코티,2,0,2,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,1,3,1,,,
01_15,5종 스콘,16,0,16,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,1,17,1,,,
01_15,레몬 마들렌,2,0,2,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,0,2,0,,,
01_15,르뱅 3종,1,0,1,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,0,1,0,,,
01_15,무화과 쿠키,1,0,1,-3.2,0,Mon,맑음,2.2,-3.206961586,47.6,35.393232,10,0,213919.244,30,,,,1,2,1,,,
01_16,바질 치아바타,6,0,6,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,0,6,0,,,
01_16,감자 치아바타,6,0,6,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,0,6,0,,,
01_16,소금빵,24,0,24,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,2,26,2,,,
01_16,갈레트 부르통,1,0,1,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,0,1,0,,,
01_16,통밀 비스코티,1,0,1,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,1,2,1,,,
01_16,5종 스콘,18,0,18,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,1,19,1,,,
01_16,레몬 마들렌,1,0,1,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,0,1,0,,,
01_16,르뱅 3종,3,0,3,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,0,3,0,,,
01_16,무화과 쿠키,0,0,0,-2.7,0,Tue,맑음,1,-0.9986,54.3,34.896661,11,0,212606.856,38,,,,1,1,1,,,
01_17,올리브 치아바타,6,0,6,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,5,11,5,,,
01_17,바질 치아바타,6,0,6,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,5,11,5,,,
01_17,소금빵,22,1,23,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,7,29,6,,,
01_17,갈레트 부르통,2,0,2,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,5,7,5,,,
01_17,통밀 비스코티,2,0,2,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,5,7,5,,,
01_17,5종 스콘,18,2,20,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,8,26,6,,,
01_17,레몬 마들렌,2,0,2,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,7,9,7,,,
01_17,르뱅 3종,1,0,1,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,7,8,7,,,
01_17,무화과 쿠키,2,0,2,0.9,10.4,Wed,비,0.9,2.850300076,82.3,35.993393,15,0,173060.6684,39,,,,5,7,5,,,
01_18,올리브 치아바타,7,0,7,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,0,7,0,,,
01_18,감자 치아바타,9,1,10,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,3,12,2,,,
01_18,소금빵,20,0,20,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,1,21,1,,,
01_18,갈레트 부르통,0,0,0,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,0,0,0,,,
01_18,통밀 비스코티,1,0,1,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,0,1,0,,,
01_18,5종 스콘,16,0,16,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,0,16,0,,,
01_18,레몬 마들렌,1,0,1,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,2,3,2,,,
01_18,르뱅 3종,4,0,4,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,2,6,2,,,
